"","Variable","Importance"
"1","x302_3",0.106254083904168
"2","x393_4",0.0775333211403761
"3","x374_8",0.0701537087886777
"4","x463_1",0.0675525392590679
"5","x313_4",0.0587467910461879
"6","x462_2",0.0533101153156498
"7","x566_6",0.0484769453336431
"8","x340_7",0.04751057522835
"9","x347_1",0.0401557868820454
"10","x396_8",0.0355508824194162
"11","x593_1",0.0354806096706263
"12","x478_8",0.0310704805289448
"13","x305_8",0.0286580222663925
"14","x568_5",0.0282274882507718
"15","x304_6",0.0266653645327369
"16","x338_9",0.026506135922115
"17","x567_8",0.0254210601782319
"18","x594_1",0.0249168583284511
"19","x518_3",0.0209101143041276
"20","x549_5",0.0207743450964959
"21","x571_1",0.0163507402582334
"22","x553_4",0.0158624007575597
"23","x371_2",0.0145162846219559
"24","x574_6",0.0128270391474572
"25","x326_4",0.00993035262621549
"26","x499_5",0.00974929079364068
"27","x332_9",0.00843911926397783
"28","x426_7",0.00777052663616328
"29","x444_7",0.00769852095432787
"30","x336_6",0.006340294384485
"31","x335_3",0.00624800189347509
"32","x504_5",0.00212066068825871
"33","x589_5",0.00125032161308274
"34","x588_9",0.00120120885980899
"35","x464_3",0.00117228096162165
"36","x410_4",0.000992651090647264
"37","x372_6",0.000742620746041566
"38","x331_9",0.000606666298207156
"39","x460_7",0.000490860485664458
"40","x387_1",0.000324271810336532
"41","x441_6",0.00024868960931933
"42","x397_3",0.000246780226588069
"43","x434_9",0.000228417736910268
"44","x460_2",0.000139162582365733
"45","x409_8",0.000137306942781599
"46","x375_9",0.000123323231064278
"47","x377_1",0.000107093195148751
"48","x383_2",5.02691145812515e-05
"49","x375_4",5.01158965098852e-05
"50","x478_1",4.9483282074036e-05
"51","x459_1",4.05621456404823e-05
"52","x480_4",3.2525931844151e-05
"53","x407_6",1.8083681850647e-05
"54","x470_6",1.04497993370328e-05
"55","x388_3",5.12148440978951e-06
"56","x412_1",1.32972355964087e-06
"57","x467_6",1.27846770189299e-06
"58","x399_5",6.64660676714958e-07
